prompt,response
"I have the following symptoms:  fatigue,  cramps,  bruising,  obesity,  swollen_legs,  prominent_veins_on_calf.","Based on your symptoms, the likely diagnosis is Varicose veins."
"I have the following symptoms:  fatigue,  cramps,  bruising,  obesity,  swollen_legs,  swollen_blood_vessels.","Based on your symptoms, the likely diagnosis is Varicose veins."
"I have the following symptoms:  fatigue,  cramps,  bruising,  obesity,  swollen_legs,  prominent_veins_on_calf.","Based on your symptoms, the likely diagnosis is Varicose veins."
"I have the following symptoms:  fatigue,  weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation.","Based on your symptoms, the likely diagnosis is Hypothyroidism."
"I have the following symptoms:  fatigue,  weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation.","Based on your symptoms, the likely diagnosis is Hypothyroidism."
"I have the following symptoms:  weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation.","Based on your symptoms, the likely diagnosis is Hypothyroidism."
"I have the following symptoms:  weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation.","Based on your symptoms, the likely diagnosis is Hypothyroidism."
"I have the following symptoms:  fatigue,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation.","Based on your symptoms, the likely diagnosis is Hypothyroidism."
"I have the following symptoms:  fatigue,  weight_gain,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation.","Based on your symptoms, the likely diagnosis is Hypothyroidism."
"I have the following symptoms:  fatigue,  weight_gain,  cold_hands_and_feets,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation.","Based on your symptoms, the likely diagnosis is Hypothyroidism."
"I have the following symptoms:  fatigue,  weight_gain,  cold_hands_and_feets,  mood_swings,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation.","Based on your symptoms, the likely diagnosis is Hypothyroidism."
"I have the following symptoms:  fatigue,  weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation.","Based on your symptoms, the likely diagnosis is Hypothyroidism."
"I have the following symptoms:  fatigue,  weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation.","Based on your symptoms, the likely diagnosis is Hypothyroidism."
"I have the following symptoms:  fatigue,  mood_swings,  weight_loss,  restlessness,  sweating,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation.","Based on your symptoms, the likely diagnosis is Hyperthyroidism."
"I have the following symptoms:  fatigue,  mood_swings,  weight_loss,  restlessness,  sweating,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation.","Based on your symptoms, the likely diagnosis is Hyperthyroidism."
"I have the following symptoms:  mood_swings,  weight_loss,  restlessness,  sweating,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation.","Based on your symptoms, the likely diagnosis is Hyperthyroidism."
"I have the following symptoms:  fatigue,  weight_loss,  restlessness,  sweating,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation.","Based on your symptoms, the likely diagnosis is Hyperthyroidism."
"I have the following symptoms:  fatigue,  mood_swings,  restlessness,  sweating,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation.","Based on your symptoms, the likely diagnosis is Hyperthyroidism."
"I have the following symptoms:  fatigue,  mood_swings,  weight_loss,  sweating,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation.","Based on your symptoms, the likely diagnosis is Hyperthyroidism."
"I have the following symptoms:  fatigue,  mood_swings,  weight_loss,  restlessness,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation.","Based on your symptoms, the likely diagnosis is Hyperthyroidism."
"I have the following symptoms:  fatigue,  mood_swings,  weight_loss,  restlessness,  sweating,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation.","Based on your symptoms, the likely diagnosis is Hyperthyroidism."
"I have the following symptoms:  fatigue,  mood_swings,  weight_loss,  restlessness,  sweating,  diarrhoea,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation.","Based on your symptoms, the likely diagnosis is Hyperthyroidism."
"I have the following symptoms:  fatigue,  mood_swings,  weight_loss,  restlessness,  sweating,  diarrhoea,  fast_heart_rate,  muscle_weakness,  irritability,  abnormal_menstruation.","Based on your symptoms, the likely diagnosis is Hyperthyroidism."
"I have the following symptoms:  vomiting,  fatigue,  anxiety,  sweating,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  slurred_speech,  irritability,  palpitations.","Based on your symptoms, the likely diagnosis is Hypoglycemia."
"I have the following symptoms:  vomiting,  fatigue,  anxiety,  sweating,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations.","Based on your symptoms, the likely diagnosis is Hypoglycemia."
"I have the following symptoms:  vomiting,  fatigue,  anxiety,  sweating,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations.","Based on your symptoms, the likely diagnosis is Hypoglycemia."
"I have the following symptoms:  fatigue,  anxiety,  sweating,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations.","Based on your symptoms, the likely diagnosis is Hypoglycemia."
"I have the following symptoms:  vomiting,  anxiety,  sweating,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations.","Based on your symptoms, the likely diagnosis is Hypoglycemia."
"I have the following symptoms:  vomiting,  fatigue,  sweating,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations.","Based on your symptoms, the likely diagnosis is Hypoglycemia."
"I have the following symptoms:  vomiting,  fatigue,  anxiety,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations.","Based on your symptoms, the likely diagnosis is Hypoglycemia."
"I have the following symptoms:  vomiting,  fatigue,  anxiety,  sweating,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations.","Based on your symptoms, the likely diagnosis is Hypoglycemia."
"I have the following symptoms:  vomiting,  fatigue,  anxiety,  sweating,  headache,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations.","Based on your symptoms, the likely diagnosis is Hypoglycemia."
"I have the following symptoms:  vomiting,  fatigue,  anxiety,  sweating,  headache,  nausea,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations.","Based on your symptoms, the likely diagnosis is Hypoglycemia."
"I have the following symptoms:  joint_pain,  neck_pain,  knee_pain,  hip_joint_pain,  swelling_joints,  painful_walking.","Based on your symptoms, the likely diagnosis is Osteoarthristis."
"I have the following symptoms:  joint_pain,  neck_pain,  knee_pain,  hip_joint_pain,  swelling_joints,  painful_walking.","Based on your symptoms, the likely diagnosis is Osteoarthristis."
"I have the following symptoms:  neck_pain,  knee_pain,  hip_joint_pain,  swelling_joints,  painful_walking.","Based on your symptoms, the likely diagnosis is Osteoarthristis."
"I have the following symptoms:  joint_pain,  knee_pain,  hip_joint_pain,  swelling_joints,  painful_walking.","Based on your symptoms, the likely diagnosis is Osteoarthristis."
"I have the following symptoms:  joint_pain,  neck_pain,  hip_joint_pain,  swelling_joints,  painful_walking.","Based on your symptoms, the likely diagnosis is Osteoarthristis."
"I have the following symptoms:  joint_pain,  neck_pain,  knee_pain,  swelling_joints,  painful_walking.","Based on your symptoms, the likely diagnosis is Osteoarthristis."
"I have the following symptoms:  joint_pain,  neck_pain,  knee_pain,  hip_joint_pain,  painful_walking.","Based on your symptoms, the likely diagnosis is Osteoarthristis."
"I have the following symptoms:  joint_pain,  neck_pain,  knee_pain,  hip_joint_pain,  swelling_joints.","Based on your symptoms, the likely diagnosis is Osteoarthristis."
"I have the following symptoms:  joint_pain,  neck_pain,  knee_pain,  hip_joint_pain,  swelling_joints,  painful_walking.","Based on your symptoms, the likely diagnosis is Osteoarthristis."
"I have the following symptoms:  joint_pain,  neck_pain,  knee_pain,  hip_joint_pain,  swelling_joints,  painful_walking.","Based on your symptoms, the likely diagnosis is Osteoarthristis."
"I have the following symptoms:  muscle_weakness,  stiff_neck,  swelling_joints,  movement_stiffness,  painful_walking.","Based on your symptoms, the likely diagnosis is Arthritis."
"I have the following symptoms:  muscle_weakness,  stiff_neck,  swelling_joints,  movement_stiffness,  painful_walking.","Based on your symptoms, the likely diagnosis is Arthritis."
"I have the following symptoms:  stiff_neck,  swelling_joints,  movement_stiffness,  painful_walking.","Based on your symptoms, the likely diagnosis is Arthritis."
"I have the following symptoms:  muscle_weakness,  swelling_joints,  movement_stiffness,  painful_walking.","Based on your symptoms, the likely diagnosis is Arthritis."
"I have the following symptoms:  muscle_weakness,  stiff_neck,  movement_stiffness,  painful_walking.","Based on your symptoms, the likely diagnosis is Arthritis."
"I have the following symptoms:  muscle_weakness,  stiff_neck,  swelling_joints,  painful_walking.","Based on your symptoms, the likely diagnosis is Arthritis."
"I have the following symptoms:  muscle_weakness,  stiff_neck,  swelling_joints,  movement_stiffness,  painful_walking.","Based on your symptoms, the likely diagnosis is Arthritis."
"I have the following symptoms:  muscle_weakness,  stiff_neck,  swelling_joints,  movement_stiffness.","Based on your symptoms, the likely diagnosis is Arthritis."
"I have the following symptoms:  muscle_weakness,  stiff_neck,  swelling_joints,  movement_stiffness,  painful_walking.","Based on your symptoms, the likely diagnosis is Arthritis."
"I have the following symptoms:  muscle_weakness,  stiff_neck,  swelling_joints,  movement_stiffness,  painful_walking.","Based on your symptoms, the likely diagnosis is Arthritis."
"I have the following symptoms:  vomiting,  headache,  nausea,  spinning_movements,  loss_of_balance,  unsteadiness.","Based on your symptoms, the likely diagnosis is (vertigo) Paroymsal  Positional Vertigo."
"I have the following symptoms:  vomiting,  headache,  nausea,  spinning_movements,  loss_of_balance,  unsteadiness.","Based on your symptoms, the likely diagnosis is (vertigo) Paroymsal  Positional Vertigo."
"I have the following symptoms:  headache,  nausea,  spinning_movements,  loss_of_balance,  unsteadiness.","Based on your symptoms, the likely diagnosis is (vertigo) Paroymsal  Positional Vertigo."
"I have the following symptoms:  vomiting,  nausea,  spinning_movements,  loss_of_balance,  unsteadiness.","Based on your symptoms, the likely diagnosis is (vertigo) Paroymsal  Positional Vertigo."
"I have the following symptoms:  vomiting,  headache,  spinning_movements,  loss_of_balance,  unsteadiness.","Based on your symptoms, the likely diagnosis is (vertigo) Paroymsal  Positional Vertigo."
"I have the following symptoms:  vomiting,  headache,  nausea,  loss_of_balance,  unsteadiness.","Based on your symptoms, the likely diagnosis is (vertigo) Paroymsal  Positional Vertigo."
"I have the following symptoms:  vomiting,  headache,  nausea,  spinning_movements,  unsteadiness.","Based on your symptoms, the likely diagnosis is (vertigo) Paroymsal  Positional Vertigo."
"I have the following symptoms:  vomiting,  headache,  nausea,  spinning_movements,  loss_of_balance.","Based on your symptoms, the likely diagnosis is (vertigo) Paroymsal  Positional Vertigo."
"I have the following symptoms:  vomiting,  headache,  nausea,  spinning_movements,  loss_of_balance,  unsteadiness.","Based on your symptoms, the likely diagnosis is (vertigo) Paroymsal  Positional Vertigo."
"I have the following symptoms:  vomiting,  headache,  nausea,  loss_of_balance,  unsteadiness.","Based on your symptoms, the likely diagnosis is (vertigo) Paroymsal  Positional Vertigo."
"I have the following symptoms:  skin_rash,  pus_filled_pimples,  blackheads,  scurring.","Based on your symptoms, the likely diagnosis is Acne."
"I have the following symptoms:  skin_rash,  pus_filled_pimples,  blackheads,  scurring.","Based on your symptoms, the likely diagnosis is Acne."
"I have the following symptoms:  pus_filled_pimples,  blackheads,  scurring.","Based on your symptoms, the likely diagnosis is Acne."
"I have the following symptoms:  skin_rash,  blackheads,  scurring.","Based on your symptoms, the likely diagnosis is Acne."
"I have the following symptoms:  skin_rash,  pus_filled_pimples,  scurring.","Based on your symptoms, the likely diagnosis is Acne."
"I have the following symptoms:  skin_rash,  pus_filled_pimples,  blackheads.","Based on your symptoms, the likely diagnosis is Acne."
"I have the following symptoms:  skin_rash,  pus_filled_pimples,  blackheads,  scurring.","Based on your symptoms, the likely diagnosis is Acne."
"I have the following symptoms:  skin_rash,  pus_filled_pimples,  blackheads.","Based on your symptoms, the likely diagnosis is Acne."
"I have the following symptoms:  skin_rash,  pus_filled_pimples,  scurring.","Based on your symptoms, the likely diagnosis is Acne."
"I have the following symptoms:  skin_rash,  blackheads,  scurring.","Based on your symptoms, the likely diagnosis is Acne."
"I have the following symptoms:  burning_micturition,  bladder_discomfort,  foul_smell_of urine,  continuous_feel_of_urine.","Based on your symptoms, the likely diagnosis is Urinary tract infection."
"I have the following symptoms:  burning_micturition,  bladder_discomfort,  foul_smell_of urine,  continuous_feel_of_urine.","Based on your symptoms, the likely diagnosis is Urinary tract infection."
"I have the following symptoms:  bladder_discomfort,  foul_smell_of urine,  continuous_feel_of_urine.","Based on your symptoms, the likely diagnosis is Urinary tract infection."
"I have the following symptoms:  burning_micturition,  foul_smell_of urine,  continuous_feel_of_urine.","Based on your symptoms, the likely diagnosis is Urinary tract infection."
"I have the following symptoms:  burning_micturition,  bladder_discomfort,  continuous_feel_of_urine.","Based on your symptoms, the likely diagnosis is Urinary tract infection."
"I have the following symptoms:  burning_micturition,  bladder_discomfort,  foul_smell_of urine.","Based on your symptoms, the likely diagnosis is Urinary tract infection."
"I have the following symptoms:  burning_micturition,  bladder_discomfort,  foul_smell_of urine,  continuous_feel_of_urine.","Based on your symptoms, the likely diagnosis is Urinary tract infection."
"I have the following symptoms:  burning_micturition,  bladder_discomfort,  continuous_feel_of_urine.","Based on your symptoms, the likely diagnosis is Urinary tract infection."
"I have the following symptoms:  bladder_discomfort,  foul_smell_of urine,  continuous_feel_of_urine.","Based on your symptoms, the likely diagnosis is Urinary tract infection."
"I have the following symptoms:  burning_micturition,  bladder_discomfort,  continuous_feel_of_urine.","Based on your symptoms, the likely diagnosis is Urinary tract infection."
"I have the following symptoms:  skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails.","Based on your symptoms, the likely diagnosis is Psoriasis."
"I have the following symptoms:  skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails.","Based on your symptoms, the likely diagnosis is Psoriasis."
"I have the following symptoms:  joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails.","Based on your symptoms, the likely diagnosis is Psoriasis."
"I have the following symptoms:  skin_rash,  skin_peeling,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails.","Based on your symptoms, the likely diagnosis is Psoriasis."
"I have the following symptoms:  skin_rash,  joint_pain,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails.","Based on your symptoms, the likely diagnosis is Psoriasis."
"I have the following symptoms:  skin_rash,  joint_pain,  skin_peeling,  small_dents_in_nails,  inflammatory_nails.","Based on your symptoms, the likely diagnosis is Psoriasis."
"I have the following symptoms:  skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  inflammatory_nails.","Based on your symptoms, the likely diagnosis is Psoriasis."
"I have the following symptoms:  skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails.","Based on your symptoms, the likely diagnosis is Psoriasis."
"I have the following symptoms:  skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails.","Based on your symptoms, the likely diagnosis is Psoriasis."
"I have the following symptoms:  skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails.","Based on your symptoms, the likely diagnosis is Psoriasis."
"I have the following symptoms:  skin_rash,  high_fever,  blister,  red_sore_around_nose,  yellow_crust_ooze.","Based on your symptoms, the likely diagnosis is Impetigo."
"I have the following symptoms:  skin_rash,  high_fever,  blister,  red_sore_around_nose,  yellow_crust_ooze.","Based on your symptoms, the likely diagnosis is Impetigo."
"I have the following symptoms:  high_fever,  blister,  red_sore_around_nose,  yellow_crust_ooze.","Based on your symptoms, the likely diagnosis is Impetigo."
"I have the following symptoms:  skin_rash,  blister,  red_sore_around_nose,  yellow_crust_ooze.","Based on your symptoms, the likely diagnosis is Impetigo."
"I have the following symptoms:  skin_rash,  blister,  red_sore_around_nose,  yellow_crust_ooze.","Based on your symptoms, the likely diagnosis is Impetigo."
"I have the following symptoms:  skin_rash,  high_fever,  red_sore_around_nose,  yellow_crust_ooze.","Based on your symptoms, the likely diagnosis is Impetigo."
"I have the following symptoms:  skin_rash,  high_fever,  blister,  yellow_crust_ooze.","Based on your symptoms, the likely diagnosis is Impetigo."
"I have the following symptoms:  skin_rash,  high_fever,  blister,  red_sore_around_nose.","Based on your symptoms, the likely diagnosis is Impetigo."
"I have the following symptoms:  skin_rash,  high_fever,  blister,  red_sore_around_nose,  yellow_crust_ooze.","Based on your symptoms, the likely diagnosis is Impetigo."
"I have the following symptoms:  skin_rash,  blister,  red_sore_around_nose,  yellow_crust_ooze.","Based on your symptoms, the likely diagnosis is Impetigo."
"I have the following symptoms: itching,  skin_rash,  nodal_skin_eruptions,  dischromic _patches.","Based on your symptoms, the likely diagnosis is Fungal infection."
"I have the following symptoms:  skin_rash,  nodal_skin_eruptions,  dischromic _patches.","Based on your symptoms, the likely diagnosis is Fungal infection."
"I have the following symptoms: itching,  nodal_skin_eruptions,  dischromic _patches.","Based on your symptoms, the likely diagnosis is Fungal infection."
"I have the following symptoms: itching,  skin_rash,  dischromic _patches.","Based on your symptoms, the likely diagnosis is Fungal infection."
"I have the following symptoms: itching,  skin_rash,  nodal_skin_eruptions.","Based on your symptoms, the likely diagnosis is Fungal infection."
"I have the following symptoms:  skin_rash,  nodal_skin_eruptions,  dischromic _patches.","Based on your symptoms, the likely diagnosis is Fungal infection."
"I have the following symptoms: itching,  nodal_skin_eruptions,  dischromic _patches.","Based on your symptoms, the likely diagnosis is Fungal infection."
"I have the following symptoms: itching,  skin_rash,  dischromic _patches.","Based on your symptoms, the likely diagnosis is Fungal infection."
"I have the following symptoms: itching,  skin_rash,  nodal_skin_eruptions.","Based on your symptoms, the likely diagnosis is Fungal infection."
"I have the following symptoms: itching,  skin_rash,  nodal_skin_eruptions,  dischromic _patches.","Based on your symptoms, the likely diagnosis is Fungal infection."
"I have the following symptoms:  continuous_sneezing,  shivering,  chills,  watering_from_eyes.","Based on your symptoms, the likely diagnosis is Allergy."
"I have the following symptoms:  shivering,  chills,  watering_from_eyes.","Based on your symptoms, the likely diagnosis is Allergy."
"I have the following symptoms:  continuous_sneezing,  chills,  watering_from_eyes.","Based on your symptoms, the likely diagnosis is Allergy."
"I have the following symptoms:  continuous_sneezing,  shivering,  watering_from_eyes.","Based on your symptoms, the likely diagnosis is Allergy."
"I have the following symptoms:  continuous_sneezing,  shivering,  chills.","Based on your symptoms, the likely diagnosis is Allergy."
"I have the following symptoms:  shivering,  chills,  watering_from_eyes.","Based on your symptoms, the likely diagnosis is Allergy."
"I have the following symptoms:  continuous_sneezing,  chills,  watering_from_eyes.","Based on your symptoms, the likely diagnosis is Allergy."
"I have the following symptoms:  continuous_sneezing,  shivering,  watering_from_eyes.","Based on your symptoms, the likely diagnosis is Allergy."
"I have the following symptoms:  continuous_sneezing,  shivering,  chills.","Based on your symptoms, the likely diagnosis is Allergy."
"I have the following symptoms:  continuous_sneezing,  shivering,  chills,  watering_from_eyes.","Based on your symptoms, the likely diagnosis is Allergy."
"I have the following symptoms:  stomach_pain,  acidity,  ulcers_on_tongue,  vomiting,  cough,  chest_pain.","Based on your symptoms, the likely diagnosis is GERD."
"I have the following symptoms:  stomach_pain,  ulcers_on_tongue,  vomiting,  cough,  chest_pain.","Based on your symptoms, the likely diagnosis is GERD."
"I have the following symptoms:  stomach_pain,  acidity,  vomiting,  cough,  chest_pain.","Based on your symptoms, the likely diagnosis is GERD."
"I have the following symptoms:  stomach_pain,  acidity,  ulcers_on_tongue,  cough,  chest_pain.","Based on your symptoms, the likely diagnosis is GERD."
"I have the following symptoms:  stomach_pain,  acidity,  ulcers_on_tongue,  vomiting,  chest_pain.","Based on your symptoms, the likely diagnosis is GERD."
"I have the following symptoms:  stomach_pain,  acidity,  ulcers_on_tongue,  vomiting,  cough.","Based on your symptoms, the likely diagnosis is GERD."
"I have the following symptoms:  acidity,  ulcers_on_tongue,  vomiting,  cough,  chest_pain.","Based on your symptoms, the likely diagnosis is GERD."
"I have the following symptoms:  stomach_pain,  ulcers_on_tongue,  vomiting,  cough,  chest_pain.","Based on your symptoms, the likely diagnosis is GERD."
"I have the following symptoms:  stomach_pain,  acidity,  vomiting,  cough,  chest_pain.","Based on your symptoms, the likely diagnosis is GERD."
"I have the following symptoms:  stomach_pain,  acidity,  ulcers_on_tongue,  cough,  chest_pain.","Based on your symptoms, the likely diagnosis is GERD."
"I have the following symptoms: itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes.","Based on your symptoms, the likely diagnosis is Chronic cholestasis."
"I have the following symptoms:  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes.","Based on your symptoms, the likely diagnosis is Chronic cholestasis."
"I have the following symptoms: itching,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes.","Based on your symptoms, the likely diagnosis is Chronic cholestasis."
"I have the following symptoms: itching,  vomiting,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes.","Based on your symptoms, the likely diagnosis is Chronic cholestasis."
"I have the following symptoms: itching,  vomiting,  yellowish_skin,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes.","Based on your symptoms, the likely diagnosis is Chronic cholestasis."
"I have the following symptoms: itching,  vomiting,  yellowish_skin,  nausea,  abdominal_pain,  yellowing_of_eyes.","Based on your symptoms, the likely diagnosis is Chronic cholestasis."
"I have the following symptoms: itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  yellowing_of_eyes.","Based on your symptoms, the likely diagnosis is Chronic cholestasis."
"I have the following symptoms: itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain.","Based on your symptoms, the likely diagnosis is Chronic cholestasis."
"I have the following symptoms: itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes.","Based on your symptoms, the likely diagnosis is Chronic cholestasis."
"I have the following symptoms: itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes.","Based on your symptoms, the likely diagnosis is Chronic cholestasis."
"I have the following symptoms: itching,  skin_rash,  stomach_pain,  burning_micturition,  spotting_ urination.","Based on your symptoms, the likely diagnosis is Drug Reaction."
"I have the following symptoms: itching,  stomach_pain,  burning_micturition,  spotting_ urination.","Based on your symptoms, the likely diagnosis is Drug Reaction."
"I have the following symptoms: itching,  skin_rash,  burning_micturition,  spotting_ urination.","Based on your symptoms, the likely diagnosis is Drug Reaction."
"I have the following symptoms: itching,  skin_rash,  stomach_pain,  spotting_ urination.","Based on your symptoms, the likely diagnosis is Drug Reaction."
"I have the following symptoms: itching,  skin_rash,  stomach_pain,  burning_micturition.","Based on your symptoms, the likely diagnosis is Drug Reaction."
"I have the following symptoms:  skin_rash,  stomach_pain,  burning_micturition,  spotting_ urination.","Based on your symptoms, the likely diagnosis is Drug Reaction."
"I have the following symptoms: itching,  stomach_pain,  burning_micturition,  spotting_ urination.","Based on your symptoms, the likely diagnosis is Drug Reaction."
"I have the following symptoms: itching,  skin_rash,  burning_micturition,  spotting_ urination.","Based on your symptoms, the likely diagnosis is Drug Reaction."
"I have the following symptoms: itching,  skin_rash,  stomach_pain,  spotting_ urination.","Based on your symptoms, the likely diagnosis is Drug Reaction."
"I have the following symptoms: itching,  skin_rash,  stomach_pain,  burning_micturition.","Based on your symptoms, the likely diagnosis is Drug Reaction."
"I have the following symptoms:  vomiting,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching.","Based on your symptoms, the likely diagnosis is Peptic ulcer diseae."
"I have the following symptoms:  vomiting,  indigestion,  abdominal_pain,  passage_of_gases,  internal_itching.","Based on your symptoms, the likely diagnosis is Peptic ulcer diseae."
"I have the following symptoms:  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching.","Based on your symptoms, the likely diagnosis is Peptic ulcer diseae."
"I have the following symptoms:  vomiting,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching.","Based on your symptoms, the likely diagnosis is Peptic ulcer diseae."
"I have the following symptoms:  vomiting,  indigestion,  abdominal_pain,  passage_of_gases,  internal_itching.","Based on your symptoms, the likely diagnosis is Peptic ulcer diseae."
"I have the following symptoms:  vomiting,  indigestion,  loss_of_appetite,  passage_of_gases,  internal_itching.","Based on your symptoms, the likely diagnosis is Peptic ulcer diseae."
"I have the following symptoms:  vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  internal_itching.","Based on your symptoms, the likely diagnosis is Peptic ulcer diseae."
"I have the following symptoms:  vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases.","Based on your symptoms, the likely diagnosis is Peptic ulcer diseae."
"I have the following symptoms:  vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching.","Based on your symptoms, the likely diagnosis is Peptic ulcer diseae."
"I have the following symptoms:  vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching.","Based on your symptoms, the likely diagnosis is Peptic ulcer diseae."
"I have the following symptoms:  muscle_wasting,  patches_in_throat,  high_fever,  extra_marital_contacts.","Based on your symptoms, the likely diagnosis is AIDS."
"I have the following symptoms:  patches_in_throat,  high_fever,  extra_marital_contacts.","Based on your symptoms, the likely diagnosis is AIDS."
"I have the following symptoms:  muscle_wasting,  high_fever,  extra_marital_contacts.","Based on your symptoms, the likely diagnosis is AIDS."
"I have the following symptoms:  muscle_wasting,  patches_in_throat,  extra_marital_contacts.","Based on your symptoms, the likely diagnosis is AIDS."
"I have the following symptoms:  muscle_wasting,  patches_in_throat,  high_fever.","Based on your symptoms, the likely diagnosis is AIDS."
"I have the following symptoms:  muscle_wasting,  patches_in_throat,  high_fever,  extra_marital_contacts.","Based on your symptoms, the likely diagnosis is AIDS."
